19/05/2025 21:27:51  | MC   | [BD INSERT]     | Microcontroller[1] Name:MC 1 Location:NATAL IP:192.168.0.1 Records:0
19/05/2025 21:27:51  | MC   | [AVL INSERT]    | Microcontroller[1] Name:MC 1 Location:NATAL IP:192.168.0.1 Records:0
19/05/2025 21:27:51  | MC   | [BD INSERT]     | Microcontroller[2] Name:MC 2 Location:FORTALEZA IP:192.168.0.2 Records:0
19/05/2025 21:27:51  | MC   | [AVL INSERT]    | Microcontroller[2] Name:MC 2 Location:FORTALEZA IP:192.168.0.2 Records:0
19/05/2025 21:27:51  | MC   | [BD INSERT]     | Microcontroller[3] Name:MC 3 Location:RECIFE IP:192.168.0.3 Records:0
19/05/2025 21:27:51  | AVL  | [ROTATION]      | RES 1
19/05/2025 21:27:51  | MC   | [AVL INSERT]    | Microcontroller[3] Name:MC 3 Location:RECIFE IP:192.168.0.3 Records:0
19/05/2025 21:27:51  | MC   | [BD INSERT]     | Microcontroller[4] Name:MC 4 Location:SALVADOR IP:192.168.0.4 Records:0
19/05/2025 21:27:51  | MC   | [AVL INSERT]    | Microcontroller[4] Name:MC 4 Location:SALVADOR IP:192.168.0.4 Records:0
19/05/2025 21:27:51  | MC   | [BD INSERT]     | Microcontroller[5] Name:MC 5 Location:TERESINA IP:192.168.0.5 Records:0
19/05/2025 21:27:51  | AVL  | [ROTATION]      | RES 1
19/05/2025 21:27:51  | MC   | [AVL INSERT]    | Microcontroller[5] Name:MC 5 Location:TERESINA IP:192.168.0.5 Records:0
19/05/2025 21:27:51  | CR   | [BD INSERT]     | ClimateRecord{id=1, microcontrollerId='1', timestamp=19/05/2025 21:27:51, temperature=10,0°C, humidity=10,0%, pressure=10,0 hPa}
19/05/2025 21:27:51  | CR   | [AVL INSERT]    | Inserted record 1 in AVL tree
19/05/2025 21:27:51  | CR   | [BD INSERT]     | ClimateRecord{id=2, microcontrollerId='1', timestamp=19/05/2025 21:27:51, temperature=20,0°C, humidity=20,0%, pressure=20,0 hPa}
19/05/2025 21:27:51  | CR   | [AVL INSERT]    | Inserted record 2 in AVL tree
19/05/2025 21:27:51  | CR   | [BD INSERT]     | ClimateRecord{id=3, microcontrollerId='1', timestamp=19/05/2025 21:27:51, temperature=30,0°C, humidity=30,0%, pressure=30,0 hPa}
19/05/2025 21:27:51  | AVL  | [ROTATION]      | RES 1
19/05/2025 21:27:51  | CR   | [AVL INSERT]    | Inserted record 3 in AVL tree
19/05/2025 21:28:08  | USER | [INFO]          | User Laura logged in.
19/05/2025 21:28:13  | USER | [INFO]          | User Laura viewed all records.
19/05/2025 21:28:20  | USER | [INFO]          | User Laura viewed record 1
19/05/2025 21:28:23  | USER | [INFO]          | User Laura viewed record 2
19/05/2025 21:28:27  | USER | [INFO]          | User Laura viewed all microcontrollers.
